student_id,gender,major,study_hours_per_week,attendance_rate,prior_gpa,extracurricular_activities,part_time_job,final_gpa
STU00549,m,Economics,6.9,78.7,2.68,1,1,1.55
STU00283,m,Electrical Engineering,,,,1,1,1.83
STU00517,f, Economics  ,13.6,77.5,2.96,1,0,2.35
STU00390,F,Electrical Engineering,10.4,81.3,2.81,0,1,1.79
STU01122,f,Computer Engineering,2.8,100.0,2.99,1,0,2.16
STU00308,Male,Economics,7.4,61.9,4.0,0,0,2.63
STU00874,f,Business Administration,2.4,92.2,2.77,1,0,2.28
STU00464,M,Computer Engineering,11.9,92.4,2.49,0,0,2.62
STU01073,F,Economics,3.0,81.4,2.89,1,1,1.78
STU00697,F,Computer Engineering,5.5,75.8,2.56,0,1,1.65
STU00581,m,Economics,,,,0,0,2.35
STU00011,Female,Electrical Engineering,5.2,90.4,1.88,1,0,1.84
STU00102,f,Mathematics,4.5,64.4,3.29,1,1,2.12
STU00905,m,Economics,3.1,57.7,1.8,1,0,1.86
STU00463,F,Business Administration,14.6,58.5,2.99,0,0,1.98
STU00669,m,Data Science,4.4,73.8,2.88,0,0,2.15
STU00362,M,ECONOMICS,2.4,65.2,2.98,1,0,1.59
STU00628,f,Data Science,5.0,100.0,4.0,0,0,2.12
STU00476,Female,Data Science,3.7,73.5,2.72,1,0,1.97
STU00985,M,Economics,8.3,100.0,2.53,0,1,2.68
STU00312,M,Economics,18.5,54.1,1.19,0,0,1.83
STU00724,f,Data Science,1.4,83.7,2.04,0,1,1.3
STU01173,M,Mathematics,0.9,98.5,2.98,1,0,1.58
STU01066,f,Data Science,7.8,100.0,3.13,0,1,2.19
STU00015,F,Business Administration,1.6,80.3,2.35,1,1,1.3
STU00433,M,Computer Engineering,4.1,90.5,3.04,1,0,2.03
STU00106,m,Economics,1.0,64.4,2.68,0,0,1.41
STU00034,F,Economics,2.9,81.0,3.1,1,0,2.16
STU00866,Female,Electrical Engineering,5.2,65.7,2.7,1,1,1.77
STU01067,M,Computer Engineering,3.1,76.9,3.97,0,1,2.08
STU00268,M,Economics,8.9,78.0,3.11,1,1,2.0
STU01109,m,Mathematics,4.7,79.3,2.67,0,0,2.19
STU00166,Male,Electrical Engineering,9.4,93.0,2.77,1,1,2.35
STU00040,m,Electrical Engineering,8.1,62.5,3.74,0,0,2.27
STU00753,Male,Business Administration,4.7,85.1,2.16,1,1,1.75
STU00890,f,Data Science,18.1,68.3,2.06,1,0,1.96
STU01091,F,Computer Engineering,3.0,75.0,2.62,0,0,1.79
STU01153,M,Electrical Engineering,1.3,75.3,3.58,1,0,2.62
STU00338,M,Electrical Engineering,4.0,88.2,2.3,0,1,1.64
STU00354,f,Electrical Engineering,4.0,89.3,3.42,0,0,2.63
STU00594,f,Business Administration,5.8,100.0,2.33,1,0,2.02
STU00649,M,Electrical Engineering,8.2,92.7,2.37,1,0,1.96
STU00207,m,Economics,5.7,82.0,2.86,1,0,2.33
STU00449,Female,Economics,1.0,82.1,2.48,0,0,1.68
STU00559,F,Economics,5.9,72.9,1.94,1,0,2.28
STU00926,f,Computer Engineering,3.6,83.1,3.73,0,0,1.94
STU00292,F,Computer Engineering,3.2,84.1,2.26,1,0,1.7
STU00334,f,Electrical Engineering,4.5,95.4,2.85,1,0,2.49
STU00220,Male,Computer Engineering,,,,0,0,2.67
STU00431,Female,Business Administration,6.9,100.0,2.92,1,0,2.56
STU00664,Female,Electrical Engineering,,,,1,0,2.19
STU00534,Male,Computer Engineering,9.6,50.3,2.64,1,0,1.63
STU00404,f,Economics,8.3,81.6,2.63,1,0,2.36
STU00068,f,Computer Engineering,6.3,100.0,3.1,0,0,2.2
STU00003,m,Electrical Engineering,9.4,92.9,3.18,0,1,2.53
STU00299,Male,Electrical Engineering,2.6,100.0,2.07,0,1,1.72
STU00419,F, Electrical Engineering  ,5.2,95.4,2.29,0,0,2.17
STU00958,F,Economics,6.0,96.0,2.08,1,0,1.74
STU00982,F,BUSINESS ADMINISTRATION,1.2,84.9,2.57,1,1,1.85
STU01162,Male,Business Administration,10.6,79.2,2.17,1,1,1.86
STU00156,M,Economics,4.1,72.0,2.19,1,1,1.38
STU00817,F,Mathematics,,,,0,0,2.64
STU00149,Male,Business Administration,11.7,98.0,3.39,0,1,3.36
STU00032,f,Business Administration,1.2,100.0,1.75,0,0,1.8
STU00234,m,Electrical Engineering,3.6,63.5,3.11,0,1,1.4
STU00434,f,Business Administration,4.3,86.0,2.18,1,0,1.8
STU01100,M,Computer Engineering,5.7,52.7,3.74,0,0,2.19
STU01197,m,Business Administration,2.4,78.4,3.32,0,0,2.37
STU00688,Female,Business Administration,4.7,77.9,3.2,0,0,2.16
STU00714,m,Data Science,4.3,84.7,3.49,1,1,2.4
STU00366,F,Economics,3.4,57.5,2.51,0,0,2.02
STU01012,F,Data Science,6.2,78.6,3.39,0,0,1.92
STU00254,Female,Electrical Engineering,3.3,78.5,2.43,0,1,1.84
STU00288,Female,Economics,4.6,88.9,2.59,0,1,1.8
STU00610,F,Mathematics,2.1,92.0,2.48,0,0,1.61
STU00883,Male,Electrical Engineering,10.0,86.5,2.33,0,1,2.2
STU00509,f,Computer Engineering,13.2,100.0,2.48,0,1,3.0
STU00217,F,Business Administration,5.9,66.6,2.78,1,1,1.78
STU00684,m,Data Science,14.0,81.3,3.61,1,0,3.49
STU00687,f,Computer Engineering,8.9,86.9,3.11,0,0,3.3
STU00176,F,Business Administration,2.3,100.0,3.02,0,0,2.7
STU00941,m,Computer Engineering,2.2,96.4,2.53,0,1,2.01
STU01194,F,Business Administration,12.0,95.6,2.04,0,0,2.42
STU00968,f,Mathematics,2.1,82.9,3.99,0,1,1.93
STU00589,F,Business Administration,,,,0,0,1.62
STU00050,F,Computer Engineering,5.2,78.6,2.85,0,0,2.13
