transaction_id,customer_id,timestamp,amount,merchant_category,location,customer_home_location,customer_avg_monthly_spend,is_fraud
TXN0003816,CUST00160,2025-01-01 00:07:00,408.95,Restaurant,Bamako,Bamako,577.27,0
TXN0005391,CUST00298,2025-01-01 00:26:00,429.43,Other,Kayes,Kayes,696.78,0
TXN0018495,CUST00415,2025-01-01 00:28:00,123.0,Online Retail,Mopti,Mopti,239.01,0
TXN0004665,CUST00496,2025-01-01 00:28:00,75.86,Cash Withdrawal,Sikasso,Sikasso,289.06,0
TXN0018992,CUST00430,2025-01-01 00:30:00,41.18,Groceries,Bamako,Bamako,703.34,0
TXN0012034,CUST00308,2025-01-01 00:40:00,156.18,Groceries,Bamako,Bamako,237.48,0
TXN0015810,CUST00126,2025-01-01 00:51:00,22.21,Online Retail,Mopti,Mopti,39.53,0
TXN0005991,CUST00025,2025-01-01 01:29:00,283.43,Other,Sikasso,Sikasso,516.08,0
TXN0000559,CUST00108,2025-01-01 01:47:00,133.51,Mobile Money Transfer,Mopti,Mopti,447.46,0
TXN0000579,CUST00451,2025-01-01 02:15:00,105.15,Restaurant,Sikasso,Sikasso,208.97,0
TXN0016681,CUST00165,2025-01-01 02:21:00,112.15,Electronics,Sikasso,Sikasso,585.93,0
TXN0007600,CUST00358,2025-01-01 02:35:00,119.08,Online Retail,Bamako,Bamako,290.32,0
TXN0005811,CUST00263,2025-01-01 02:39:00,286.29,Travel,Segou,Segou,638.31,0
TXN0010248,CUST00487,2025-01-01 03:26:00,29.77,Groceries,Segou,Segou,374.45,0
TXN0007479,CUST00248,2025-01-01 03:28:00,180.36,Other,Segou,Segou,177.14,0
TXN0013013,CUST00425,2025-01-01 03:29:00,60.47,Groceries,Segou,Segou,79.66,0
TXN0019682,CUST00191,2025-01-01 04:13:00,247.17,Other,Mopti,Mopti,216.04,0
TXN0015393,CUST00078,2025-01-01 04:18:00,177.11,Groceries,Mopti,Mopti,269.73,0
TXN0006321,CUST00206,2025-01-01 05:45:00,99.13,Other,Kayes,Kayes,104.64,0
TXN0002580,CUST00377,2025-01-01 06:26:00,715.84,Other,Sikasso,Bamako,658.79,0
TXN0013830,CUST00273,2025-01-01 06:31:00,109.93,Travel,Mopti,Mopti,217.28,0
TXN0002714,CUST00385,2025-01-01 06:40:00,102.39,Electronics,Segou,Segou,89.82,0
TXN0001696,CUST00475,2025-01-01 06:49:00,149.33,Cash Withdrawal,Bamako,Bamako,377.16,0
TXN0010860,CUST00428,2025-01-01 06:49:00,130.76,Travel,Segou,Segou,217.96,0
TXN0004948,CUST00233,2025-01-01 07:19:00,132.44,Electronics,Mopti,Mopti,162.79,0
TXN0017797,CUST00413,2025-01-01 07:23:00,256.14,Fuel,Segou,Segou,358.8,0
TXN0008994,CUST00256,2025-01-01 07:31:00,136.98,Utilities,Bamako,Bamako,331.61,0
TXN0002141,CUST00145,2025-01-01 08:00:00,34.32,Groceries,Mopti,Segou,73.72,0
TXN0018776,CUST00166,2025-01-01 08:05:00,419.65,Mobile Money Transfer,Segou,Segou,417.41,0
TXN0008491,CUST00090,2025-01-01 08:23:00,192.52,Online Retail,Kayes,Kayes,367.27,0
TXN0011898,CUST00088,2025-01-01 08:29:00,111.85,Utilities,Kayes,Kayes,499.88,0
TXN0016573,CUST00380,2025-01-01 09:32:00,99.99,Cash Withdrawal,Kayes,Bamako,303.95,0
TXN0008403,CUST00095,2025-01-01 09:35:00,58.3,Fuel,Segou,Segou,150.33,0
TXN0002761,CUST00199,2025-01-01 10:04:00,181.06,Online Retail,Segou,Segou,492.67,0
TXN0007303,CUST00320,2025-01-01 10:06:00,528.58,Travel,Mopti,Mopti,646.76,0
TXN0008751,CUST00191,2025-01-01 10:11:00,84.14,Other,Mopti,Mopti,216.04,0
TXN0007461,CUST00051,2025-01-01 10:51:00,19.4,Fuel,Kayes,Kayes,56.41,0
TXN0007076,CUST00264,2025-01-01 11:14:00,109.88,Mobile Money Transfer,Kayes,Kayes,154.96,0
TXN0013117,CUST00266,2025-01-01 11:24:00,402.84,Utilities,Bamako,Bamako,393.69,0
TXN0006072,CUST00325,2025-01-01 11:33:00,170.6,Fuel,Kayes,Kayes,290.02,0
TXN0008342,CUST00017,2025-01-01 12:04:00,31.54,Online Retail,Kayes,Kayes,55.06,0
TXN0011827,CUST00116,2025-01-01 14:25:00,61.66,Travel,Mopti,Mopti,264.12,0
TXN0002900,CUST00057,2025-01-01 14:44:00,14.4,Fuel,Sikasso,Sikasso,130.27,0
TXN0012848,CUST00324,2025-01-01 14:46:00,68.52,Mobile Money Transfer,Kayes,Kayes,605.83,0
TXN0006246,CUST00304,2025-01-01 14:48:00,40.71,Fuel,Mopti,Mopti,137.45,0
TXN0013384,CUST00005,2025-01-01 14:54:00,159.9,Mobile Money Transfer,Sikasso,Sikasso,798.81,0
TXN0003893,CUST00059,2025-01-01 16:32:00,94.91,Electronics,Sikasso,Sikasso,144.53,0
TXN0011410,CUST00050,2025-01-01 16:42:00,22.71,Mobile Money Transfer,Segou,Segou,154.25,0
TXN0008580,CUST00075,2025-01-01 17:08:00,76.29,Groceries,Segou,Segou,112.22,0
TXN0015890,CUST00034,2025-01-01 17:11:00,118.14,Cash Withdrawal,Sikasso,Sikasso,233.14,0
TXN0018104,CUST00126,2025-01-01 17:20:00,15.54,Travel,Mopti,Mopti,39.53,0
TXN0007922,CUST00359,2025-01-01 17:40:00,32.57,Mobile Money Transfer,Kayes,Kayes,143.88,0
TXN0019437,CUST00095,2025-01-01 17:44:00,73.99,Other,Segou,Segou,150.33,0
TXN0005159,CUST00469,2025-01-01 17:56:00,415.75,Fuel,Mopti,Mopti,258.58,0
TXN0010141,CUST00248,2025-01-01 17:59:00,157.7,Groceries,Segou,Segou,177.14,0
TXN0010910,CUST00357,2025-01-01 18:04:00,640.45,Travel,Kayes,Kayes,759.36,0
TXN0005151,CUST00042,2025-01-01 18:24:00,77.04,Cash Withdrawal,Bamako,Bamako,98.34,0
TXN0013828,CUST00287,2025-01-01 19:15:00,223.41,Utilities,Segou,Segou,624.53,0
TXN0009708,CUST00199,2025-01-01 19:59:00,196.77,Utilities,Segou,Segou,492.67,0
TXN0007842,CUST00372,2025-01-01 20:11:00,206.62,Groceries,Abroad - Europe,Bamako,512.53,0
TXN0010300,CUST00363,2025-01-01 20:23:00,69.18,Cash Withdrawal,Mopti,Mopti,755.94,0
TXN0016926,CUST00048,2025-01-01 21:02:00,67.07,Restaurant,Bamako,Bamako,209.6,0
TXN0004111,CUST00096,2025-01-01 21:02:00,139.79,Groceries,Bamako,Bamako,267.15,0
TXN0006190,CUST00248,2025-01-01 22:26:00,93.86,Online Retail,Segou,Segou,177.14,0
TXN0013112,CUST00242,2025-01-01 22:30:00,257.93,Online Retail,Kayes,Kayes,266.28,0
TXN0000754,CUST00142,2025-01-01 22:56:00,35.6,Utilities,Segou,Segou,100.76,0
TXN0003341,CUST00440,2025-01-01 23:02:00,184.18,Electronics,Sikasso,Sikasso,625.29,0
TXN0000293,CUST00063,2025-01-01 23:06:00,195.8,Travel,Mopti,Mopti,265.28,0
TXN0000440,CUST00291,2025-01-01 23:12:00,134.86,Online Retail,Kayes,Sikasso,328.4,0
TXN0015796,CUST00455,2025-01-01 23:19:00,36.61,Restaurant,Segou,Segou,295.92,0
TXN0016692,CUST00329,2025-01-01 23:26:00,39.09,Groceries,Mopti,Mopti,275.64,0
TXN0004445,CUST00073,2025-01-01 23:28:00,9.96,Mobile Money Transfer,Kayes,Kayes,121.14,0
TXN0017314,CUST00143,2025-01-01 23:38:00,106.66,Travel,Mopti,Mopti,46.96,0
TXN0008500,CUST00375,2025-01-02 00:05:00,46.26,Fuel,Kayes,Kayes,398.79,0
TXN0016858,CUST00399,2025-01-02 00:06:00,28.76,Other,Mopti,Mopti,299.15,0
TXN0017805,CUST00007,2025-01-02 00:11:00,58.35,Electronics,Bamako,Bamako,169.71,0
TXN0011532,CUST00457,2025-01-02 00:19:00,221.14,Mobile Money Transfer,Bamako,Bamako,274.44,0
TXN0000993,CUST00353,2025-01-02 00:23:00,504.14,Fuel,Sikasso,Sikasso,466.51,0
TXN0015057,CUST00079,2025-01-02 01:01:00,61.75,Mobile Money Transfer,Segou,Kayes,425.56,0
TXN0016309,CUST00258,2025-01-02 01:01:00,181.89,Utilities,Bamako,Bamako,358.0,0
TXN0017970,CUST00487,2025-01-02 01:17:00,74.09,Electronics,Segou,Segou,374.45,0
TXN0002990,CUST00479,2025-01-02 01:31:00,673.77,Travel,Mopti,Mopti,256.66,0
TXN0004821,CUST00018,2025-01-02 01:49:00,279.27,Utilities,Segou,Segou,588.02,0
TXN0002160,CUST00197,2025-01-02 02:08:00,215.81,Utilities,Mopti,Mopti,353.14,0
TXN0018138,CUST00288,2025-01-02 02:13:00,170.6,Electronics,Bamako,Bamako,397.84,0
TXN0019370,CUST00413,2025-01-02 03:08:00,139.71,Mobile Money Transfer,Segou,Segou,358.8,0
TXN0004995,CUST00218,2025-01-02 03:18:00,69.44,Cash Withdrawal,Bamako,Bamako,390.78,0
TXN0001134,CUST00299,2025-01-02 04:00:00,46.31,Travel,Abroad - Other,Sikasso,387.16,0
TXN0009884,CUST00243,2025-01-02 04:12:00,95.25,Cash Withdrawal,Segou,Segou,518.3,0
TXN0018691,CUST00011,2025-01-02 04:23:00,119.63,Restaurant,Kayes,Kayes,251.02,0
TXN0007473,CUST00487,2025-01-02 04:34:00,154.52,Travel,Segou,Segou,374.45,0
TXN0013038,CUST00456,2025-01-02 05:05:00,184.9,Online Retail,Segou,Sikasso,618.13,0
TXN0000597,CUST00137,2025-01-02 05:09:00,139.41,Electronics,Kayes,Kayes,226.42,0
TXN0008037,CUST00411,2025-01-02 05:11:00,462.69,Mobile Money Transfer,Abroad - USA,Mopti,834.0,1
TXN0010793,CUST00189,2025-01-02 06:09:00,35.19,Other,Kayes,Kayes,43.54,0
TXN0015634,CUST00004,2025-01-02 06:35:00,9.99,Other,Mopti,Mopti,71.59,0
TXN0007108,CUST00060,2025-01-02 06:48:00,48.86,Online Retail,Segou,Segou,93.6,0
TXN0008827,CUST00198,2025-01-02 07:40:00,69.18,Fuel,Sikasso,Sikasso,302.93,0
TXN0019257,CUST00010,2025-01-02 08:47:00,349.07,Other,Kayes,Kayes,574.47,0
TXN0017128,CUST00478,2025-01-02 08:48:00,47.39,Fuel,Bamako,Bamako,100.48,0
TXN0000640,CUST00003,2025-01-02 08:58:00,75.52,Cash Withdrawal,Bamako,Bamako,357.87,0
TXN0013745,CUST00084,2025-01-02 09:12:00,147.82,Restaurant,Kayes,Kayes,395.17,0
TXN0000056,CUST00344,2025-01-02 09:26:00,48.78,Groceries,Bamako,Bamako,139.82,0
TXN0004775,CUST00262,2025-01-02 09:41:00,91.86,Cash Withdrawal,Mopti,Mopti,558.17,0
TXN0019721,CUST00204,2025-01-02 10:09:00,40.75,Other,Segou,Segou,149.29,0
TXN0009641,CUST00081,2025-01-02 10:52:00,26.2,Travel,Sikasso,Sikasso,377.57,0
TXN0003673,CUST00260,2025-01-02 11:03:00,245.65,Mobile Money Transfer,Mopti,Mopti,160.63,0
TXN0014693,CUST00363,2025-01-02 11:32:00,411.8,Utilities,Mopti,Mopti,755.94,0
TXN0013168,CUST00140,2025-01-02 12:16:00,72.36,Electronics,Kayes,Kayes,220.63,0
TXN0013634,CUST00432,2025-01-02 12:18:00,119.22,Utilities,Bamako,Bamako,145.56,0
TXN0014558,CUST00052,2025-01-02 12:55:00,860.62,Groceries,Kayes,Kayes,619.1,0
TXN0003405,CUST00165,2025-01-02 13:00:00,416.34,Utilities,Abroad - USA,Sikasso,585.93,1
TXN0017527,CUST00146,2025-01-02 13:06:00,30.19,Electronics,Sikasso,Sikasso,203.02,0
TXN0011888,CUST00435,2025-01-02 13:13:00,76.7,Fuel,Segou,Segou,500.97,0
TXN0010755,CUST00075,2025-01-02 13:30:00,170.23,Groceries,Segou,Segou,112.22,0
TXN0019380,CUST00309,2025-01-02 13:33:00,29.01,Online Retail,Mopti,Mopti,61.37,0
TXN0002003,CUST00061,2025-01-02 13:37:00,486.48,Electronics,Bamako,Bamako,739.7,0
TXN0000603,CUST00371,2025-01-02 14:23:00,120.31,Online Retail,Abroad - USA,Segou,296.03,0
TXN0007330,CUST00361,2025-01-02 14:57:00,305.28,Other,Segou,Segou,365.53,0
TXN0014917,CUST00158,2025-01-02 15:21:00,245.27,Groceries,Mopti,Mopti,203.8,1
TXN0019138,CUST00129,2025-01-02 15:26:00,15.82,Online Retail,Mopti,Mopti,89.25,0
