transaction_id,customer_id,timestamp,amount,merchant_category,location,hour,is_night,location_mismatch,fraud_probability,predicted_fraud,is_fraud
TXN0003816,CUST00160,2025-01-01 00:07:00,408.95,Restaurant,Bamako,0,1,0,0.07534000020543925,0,0
TXN0005391,CUST00298,2025-01-01 00:26:00,429.43,Other,Kayes,0,1,0,0.08964044109514284,0,0
TXN0018495,CUST00415,2025-01-01 00:28:00,123.0,Online Retail,Mopti,0,1,0,0.06082061396400896,0,0
TXN0004665,CUST00496,2025-01-01 00:28:00,75.86,Cash Withdrawal,Sikasso,0,1,0,0.011081272055510863,0,0
TXN0018992,CUST00430,2025-01-01 00:30:00,41.18,Groceries,Bamako,0,1,0,0.030451867382241947,0,0
TXN0012034,CUST00308,2025-01-01 00:40:00,156.18,Groceries,Bamako,0,1,0,0.10894327666787698,0,0
TXN0015810,CUST00126,2025-01-01 00:51:00,22.21,Online Retail,Mopti,0,1,0,0.058488374596457386,0,0
TXN0005991,CUST00025,2025-01-01 01:29:00,283.43,Other,Sikasso,1,1,0,0.04222446864045333,0,0
TXN0000559,CUST00108,2025-01-01 01:47:00,133.51,Mobile Money Transfer,Mopti,1,1,0,0.04373112462888236,0,0
TXN0000579,CUST00451,2025-01-01 02:15:00,105.15,Restaurant,Sikasso,2,1,0,0.015312477753659586,0,0
TXN0016681,CUST00165,2025-01-01 02:21:00,112.15,Electronics,Sikasso,2,1,0,0.009197259480126108,0,0
TXN0007600,CUST00358,2025-01-01 02:35:00,119.08,Online Retail,Bamako,2,1,0,0.02921423398871522,0,0
TXN0005811,CUST00263,2025-01-01 02:39:00,286.29,Travel,Segou,2,1,0,0.017886850216331577,0,0
TXN0010248,CUST00487,2025-01-01 03:26:00,29.77,Groceries,Segou,3,1,0,0.04898175553861863,0,0
TXN0007479,CUST00248,2025-01-01 03:28:00,180.36,Other,Segou,3,1,0,0.03886732522927101,0,0
TXN0013013,CUST00425,2025-01-01 03:29:00,60.47,Groceries,Segou,3,1,0,0.021631391497687395,0,0
