date,transaction_volume
2024-01-01,75033.0
2024-01-02,73553.0
2024-01-03,75624.0
2024-01-04,58703.0
2024-01-05,54386.0
2024-01-06,64368.0
2024-01-07,68988.0
2024-01-08,57108.0
2024-01-09,54086.0
2024-01-10,56685.0
2024-01-11,54237.0
2024-01-12,54297.0
2024-01-13,66126.0
2024-01-14,60812.0
2024-01-15,51338.0
2024-01-16,54305.0
2024-01-17,53237.0
2024-01-18,56612.0
2024-01-19,53612.0
2024-01-20,62473.0
2024-01-21,69730.0
2024-01-22,55475.0
2024-01-23,56258.0
2024-01-24,52575.0
2024-01-25,54822.0
2024-01-26,56506.0
2024-01-27,86764.0
2024-01-28,90647.0
2024-01-29,74577.0
2024-01-30,75402.0
2024-01-31,74677.0
2024-02-01,80860.0
2024-02-02,76242.0
2024-02-03,87414.0
2024-02-04,68803.0
2024-02-05,53543.0
2024-02-06,57145.0
2024-02-07,51750.0
2024-02-08,53354.0
2024-02-09,57191.0
2024-02-10,68777.0
2024-02-11,67383.0
2024-02-12,56471.0
2024-02-13,56025.0
2024-02-14,53098.0
2024-02-15,55009.0
2024-02-16,55671.0
2024-02-17,69707.0
2024-02-18,67935.0
2024-02-19,52445.0
2024-02-20,57671.0
2024-02-21,55904.0
2024-02-22,55179.0
2024-02-23,58403.0
2024-02-24,69691.0
2024-02-25,69442.0
2024-02-26,54777.0
2024-02-27,76004.0
2024-02-28,77600.0
2024-02-29,79204.0
2024-03-01,75558.0
2024-03-02,90096.0
2024-03-03,87780.0
2024-03-04,53839.0
2024-03-05,58849.0
2024-03-06,60195.0
2024-03-07,56610.0
2024-03-08,59283.0
2024-03-09,67878.0
2024-03-10,65340.0
2024-03-11,57624.0
2024-03-12,60545.0
2024-03-13,56589.0
2024-03-14,60568.0
2024-03-15,50083.0
2024-03-16,68852.0
2024-03-17,66984.0
2024-03-18,55807.0
2024-03-19,56756.0
2024-03-20,51528.0
2024-03-21,55918.0
2024-03-22,57329.0
2024-03-23,70252.0
2024-03-24,65223.0
2024-03-25,54316.0
2024-03-26,55048.0
2024-03-27,78249.0
2024-03-28,76733.0
2024-03-29,74537.0
2024-03-30,90739.0
2024-03-31,89636.0
2024-04-01,78125.0
2024-04-02,73894.0
2024-04-03,74775.0
2024-04-04,54973.0
2024-04-05,52252.0
2024-04-06,66665.0
2024-04-07,66526.0
2024-04-08,55793.0
2024-04-09,55149.0
2024-04-10,52152.0
2024-04-11,54593.0
2024-04-12,54741.0
2024-04-13,63545.0
2024-04-14,65092.0
2024-04-15,56467.0
2024-04-16,60124.0
2024-04-17,55797.0
2024-04-18,55956.0
2024-04-19,55077.0
2024-04-20,60355.0
2024-04-21,65028.0
2024-04-22,55265.0
2024-04-23,61223.0
2024-04-24,54534.0
2024-04-25,55719.0
2024-04-26,54828.0
2024-04-27,84478.0
2024-04-28,90177.0
2024-04-29,75812.0
2024-04-30,75842.0
2024-05-01,71523.0
2024-05-02,77236.0
2024-05-03,70157.0
2024-05-04,65794.0
2024-05-05,69744.0
2024-05-06,51939.0
2024-05-07,52950.0
2024-05-08,54566.0
2024-05-09,53009.0
2024-05-10,50343.0
2024-05-11,64094.0
2024-05-12,61210.0
2024-05-13,55260.0
2024-05-14,51731.0
2024-05-15,57858.0
2024-05-16,51979.0
2024-05-17,53086.0
2024-05-18,65573.0
2024-05-19,60409.0
2024-05-20,54327.0
2024-05-21,56983.0
2024-05-22,49654.0
2024-05-23,54092.0
2024-05-24,54239.0
2024-05-25,65142.0
2024-05-26,60049.0
2024-05-27,68884.0
2024-05-28,73438.0
2024-05-29,72826.0
