date,actual,forecast_sarima,forecast_xgboost,forecast_lstm
2025-11-01,132918.0,119769.6731974561,112958.02,108343.74
2025-11-02,124909.0,115611.55396170955,109214.625,101371.07
2025-11-03,109636.0,100193.0647755629,101886.305,96816.234
2025-11-04,81099.0,96435.66838528027,79421.28,93749.9
2025-11-05,78689.0,93022.86954369818,74908.625,91603.17
2025-11-06,80444.0,92496.2177539882,75434.78,90135.94
2025-11-07,79792.0,91678.49123324126,74898.56,89210.586
2025-11-08,102023.0,103380.17872764717,90702.516,88713.695
2025-11-09,100193.0,102826.21308382876,88420.59,88460.84
2025-11-10,86284.0,95776.49902934108,77744.44,88377.75
2025-11-11,85087.0,94422.05196053638,75863.0,88293.805
2025-11-12,80637.0,93945.38133514329,75864.914,88171.305
2025-11-13,82325.0,92603.7728083998,73726.914,87956.91
2025-11-14,85035.0,94578.97323361273,75342.97,87722.86
2025-11-15,96048.0,106009.12283517774,89325.016,87379.66
2025-11-16,101092.0,105191.34645664935,88300.266,86955.82
2025-11-17,83733.0,96845.90114771739,75058.49,86524.08
2025-11-18,83569.0,95264.82868449473,75003.586,86122.086
2025-11-19,86454.0,94396.84384106786,74225.51,85763.83
2025-11-20,85958.0,93342.66056230309,73036.016,85453.266
2025-11-21,84114.0,94874.59660310992,74877.52,85188.87
2025-11-22,103417.0,106428.28775638665,89317.35,84965.47
2025-11-23,98013.0,105714.02427826033,89363.695,84775.56
2025-11-24,87058.0,97657.68887556613,77593.06,84611.2
2025-11-25,87166.0,96149.10677897678,76359.38,84464.67
2025-11-26,85074.0,95377.9286029354,76011.22,84329.99
2025-11-27,116929.0,94283.92343205118,98059.4,84202.92
2025-11-28,113203.0,95913.0686933134,103862.55,84081.13
2025-11-29,139836.0,107451.47135075208,119721.51,83963.22
2025-11-30,137316.0,106723.5513775287,114281.164,83849.21
2025-12-01,115667.0,98616.06060497517,101830.6,83740.164
2025-12-02,119807.0,97096.93904349403,100865.1,83637.13
2025-12-03,115632.0,96309.62199925793,101689.61,83540.88
2025-12-04,83589.0,95225.19880801302,79017.41,83451.73
2025-12-05,83371.0,96836.9667481413,73478.61,83369.61
2025-12-06,104661.0,108379.35514424717,92042.51,83294.234
2025-12-07,100120.0,107654.83622652825,91254.89,83225.07
2025-12-08,92094.0,99557.78981575725,81630.445,83161.48
2025-12-09,82648.0,98041.12090000244,76275.33,83102.81
2025-12-10,92237.0,97257.22915509234,75292.98,83048.48
2025-12-11,88665.0,96171.18315157105,76032.89,82997.95
2025-12-12,88036.0,97786.47572276184,74906.164,82950.83
2025-12-13,102968.0,109328.21878384246,88883.0,82906.766
2025-12-14,105490.0,108603.13498457689,86685.48,82865.53
2025-12-15,88593.0,100504.13935737152,74671.91,82826.95
2025-12-16,91578.0,98987.04699589308,75122.01,82790.9
2025-12-17,89236.0,98202.53083731633,74576.53,82757.234
2025-12-18,89455.0,97116.8257152711,74439.734,82725.85
2025-12-19,88298.0,98731.4578352325,74042.805,82696.62
2025-12-20,105269.0,110273.34053304433,88344.51,82669.43
2025-12-21,106326.0,109548.3769191477,88608.305,82644.125
2025-12-22,85301.0,101449.76595400328,75112.53,82620.59
2025-12-23,86325.0,99932.76143180503,76873.94,82598.69
2025-12-24,91670.0,99148.37034737613,75554.52,82578.305
2025-12-25,90354.0,98062.60269599433,75164.805,82559.31
2025-12-26,89580.0,99677.36481965825,76019.44,82541.62
2025-12-27,143656.0,111219.22235536699,111749.195,82525.1
2025-12-28,144652.0,110494.23686471439,117963.42,82509.71
2025-12-29,120644.0,102395.55259367205,102307.99,82495.35
2025-12-30,120189.0,100878.53183598003,99687.5,82481.96
